purchase_id,student_id,subscription_type,refund_id,first_purchase_date,current_purchase_date,price,revenue_type,refunds,student_country
7025,10,monthly,NULL,"2021-01-28 15:24:48","2021-01-28 15:24:48",43.3,new,revenue,BG
3057,13,monthly,NULL,"2020-08-13 00:00:00","2020-08-13 00:00:00",44.04,new,revenue,
3575,13,monthly,NULL,"2020-09-17 00:00:00","2020-09-17 00:00:00",43.71,recurring,revenue,
4303,13,monthly,NULL,"2020-10-27 00:00:00","2020-10-27 00:00:00",44,recurring,revenue,
4836,13,monthly,NULL,"2020-11-27 00:00:00","2020-11-27 00:00:00",45.14,recurring,revenue,
5505,13,monthly,NULL,"2020-12-27 00:00:00","2020-12-27 00:00:00",45.82,recurring,revenue,
6221,13,monthly,NULL,"2021-01-27 00:00:00","2021-01-27 00:00:00",46.24,recurring,revenue,
7731,13,monthly,NULL,"2021-02-27 09:49:55","2021-02-27 09:49:55",47.12,recurring,revenue,
18149,31,annual,NULL,"2022-03-31 00:10:15","2022-03-31 00:10:15",149.99,new,revenue,SG
5297,135,monthly,NULL,"2020-12-11 00:00:00","2020-12-11 00:00:00",43.7,new,revenue,
17984,182,monthly,NULL,"2022-03-26 10:19:46","2022-03-26 10:19:46",27,new,revenue,MM
18990,182,monthly,NULL,"2022-04-30 10:40:24","2022-04-30 10:40:24",27,recurring,revenue,MM
20761,182,monthly,NULL,"2022-07-13 04:34:15","2022-07-13 04:34:15",27,recurring,revenue,MM
10636,221,monthly,NULL,"2021-06-10 17:55:16","2021-06-10 17:55:16",44.68,new,revenue,PT
14527,235,annual,NULL,"2021-11-28 15:29:10","2021-11-28 15:29:10",134.09,new,revenue,CA
4851,520,annual,NULL,"2020-11-27 00:00:00","2020-11-27 00:00:00",139.37,new,revenue,RS
14326,520,annual,NULL,"2021-11-27 08:30:25","2021-11-27 08:30:25",131.85,recurring,refund,RS
3900,523,annual,NULL,"2020-09-30 00:00:00","2020-09-30 00:00:00",173.79,new,revenue,IN
7199,591,annual,NULL,"2021-02-06 00:19:07","2021-02-06 00:19:07",165.72,new,revenue,RO
16768,591,annual,NULL,"2022-02-06 08:05:28","2022-02-06 08:05:28",158.26,recurring,revenue,RO
8251,594,annual,NULL,"2021-03-18 14:35:18","2021-03-18 14:35:18",176.73,new,revenue,
8468,595,annual,NULL,"2021-03-25 02:18:26","2021-03-25 02:18:26",178.49,new,revenue,DE
5096,608,annual,NULL,"2020-12-01 00:00:00","2020-12-01 00:00:00",139.2,new,revenue,MM
7877,610,monthly,NULL,"2021-03-04 11:51:59","2021-03-04 11:51:59",36.05,new,revenue,IN
4611,614,lifetime,NULL,"2020-11-16 00:00:00","2020-11-16 00:00:00",239.9,new,revenue,BG
1969,616,annual,NULL,"2020-06-06 00:00:00","2020-06-06 00:00:00",184,new,revenue,MX
10402,616,annual,NULL,"2021-06-02 15:16:53","2021-06-02 15:16:53",149.61,recurring,revenue,MX
10544,616,annual,NULL,"2021-06-06 09:32:11","2021-06-06 09:32:11",201.65,recurring,refund,MX
19899,616,annual,NULL,"2022-06-02 09:06:39","2022-06-02 09:06:39",151.37,recurring,revenue,MX
5665,618,monthly,NULL,"2021-01-04 00:00:00","2021-01-04 00:00:00",42.5,new,revenue,IN
5842,618,annual,NULL,"2021-01-13 00:00:00","2021-01-13 00:00:00",205.02,recurring,revenue,IN
7171,618,monthly,NULL,"2021-02-04 09:28:40","2021-02-04 09:28:40",42.5,recurring,refund,IN
7873,618,monthly,NULL,"2021-03-04 08:58:58","2021-03-04 08:58:58",42.44,recurring,refund,IN
8681,618,monthly,NULL,"2021-04-04 08:50:17","2021-04-04 08:50:17",42.25,recurring,refund,IN
9645,618,monthly,NULL,"2021-05-04 10:31:32","2021-05-04 10:31:32",41.76,recurring,refund,IN
19664,618,annual,NULL,"2022-05-29 11:00:58","2022-05-29 11:00:58",149.99,recurring,revenue,IN
6965,626,annual,NULL,"2020-04-21 03:00:00","2020-04-21 03:00:00",139.2,new,revenue,DE
12437,626,monthly,NULL,"2021-09-05 22:04:45","2021-09-05 22:04:45",27,recurring,revenue,DE
7069,659,annual,NULL,"2021-01-30 17:38:58","2021-01-30 17:38:58",99,new,revenue,NG
7047,666,annual,NULL,"2021-01-29 16:26:32","2021-01-29 16:26:32",139.2,new,revenue,UZ
3811,674,monthly,NULL,"2020-09-26 00:00:00","2020-09-26 00:00:00",28.8,new,revenue,
4274,674,monthly,NULL,"2020-10-26 00:00:00","2020-10-26 00:00:00",28.8,recurring,revenue,
4805,674,monthly,NULL,"2020-11-26 00:00:00","2020-11-26 00:00:00",28.8,recurring,revenue,
5491,674,monthly,NULL,"2020-12-26 00:00:00","2020-12-26 00:00:00",28.8,recurring,revenue,
5966,691,annual,NULL,"2021-01-16 00:00:00","2021-01-16 00:00:00",208.74,new,revenue,FR
3627,698,annual,NULL,"2020-09-19 00:00:00","2020-09-19 00:00:00",174,new,revenue,RU
9307,702,lifetime,NULL,"2021-04-23 19:17:50","2021-04-23 19:17:50",216.5,new,revenue,US
814,709,annual,NULL,"2020-04-18 00:00:00","2020-04-18 00:00:00",165.63,new,revenue,DE
12132,709,annual,NULL,"2021-08-23 14:44:23","2021-08-23 14:44:23",118.34,recurring,revenue,DE
21805,709,annual,NULL,"2022-08-23 08:28:45","2022-08-23 08:28:45",101.03,recurring,revenue,DE
4220,767,monthly,NULL,"2020-10-20 00:00:00","2020-10-20 00:00:00",21.89,new,revenue,GB
4681,767,monthly,NULL,"2020-11-20 00:00:00","2020-11-20 00:00:00",22.35,recurring,revenue,GB
5394,767,monthly,NULL,"2020-12-20 00:00:00","2020-12-20 00:00:00",22.84,recurring,revenue,GB
6058,767,monthly,NULL,"2021-01-20 00:00:00","2021-01-20 00:00:00",22.99,recurring,revenue,GB
7570,767,monthly,NULL,"2021-02-20 10:21:09","2021-02-20 10:21:09",23.63,recurring,revenue,GB
2571,768,annual,NULL,"2020-07-10 00:00:00","2020-07-10 00:00:00",186.62,new,revenue,US
11190,768,annual,NULL,"2021-07-10 09:04:25","2021-07-10 09:04:25",186.62,recurring,revenue,US
20955,768,annual,NULL,"2022-07-20 10:23:57","2022-07-20 10:23:57",149.99,recurring,revenue,US
5811,772,annual,NULL,"2021-01-11 00:00:00","2021-01-11 00:00:00",205.37,new,revenue,IN
5465,773,annual,NULL,"2020-12-25 00:00:00","2020-12-25 00:00:00",202.76,new,revenue,AU
174,778,annual,NULL,"2020-03-17 00:00:00","2020-03-17 00:00:00",219.64,new,revenue,DE
8176,778,annual,NULL,"2021-03-17 08:22:06","2021-03-17 08:22:06",234.71,recurring,revenue,DE
